virtuslab,scala-yaml,55
scalatest,scalatestplus-scalacheck,55
47degrees,memeid,55
http4s,http4s-jdk-http-client,54
mkroli,dns4s,54
fomkin,levsha,54
http4s,http4s-armeria,53
azhur,kafka-serde-scala,53
zio,zio-optics,53
kitlangton,quotidian,53
outr,lucene4s,53
autodeployai,pmml4s,53
phenoscape,scowl,53
typelevel,monoids,52
yakivy,jam,52
cequence-io,openai-scala-client,51
jatcwang,difflicious,51
tulz-app,laminext,51
jcouyang,jujiu,50
indoorvivants,sn-bindgen,50
wz7982,easysql-scala,49
vigoo,desert,48
nremond,pbkdf2-scala,48
kitlangton,zio-tui,48
fs2-blobstore,fs2-blobstore,48
davenverse,catscript,47
softwaremill,scala-id-generator,47
zio,zio-openai,46
davegurnell,unindent,46
oyvindberg,bleep,45
quafadas,dedav4s,45
cucumber,cucumber-jvm-scala,45
kubukoz,spotify-next,45
openmole,scaladget,45
sbt,librarymanagement,44
purplekingdomgames,ultraviolet,44
sirthias,spliff,43
tharwaninitin,etlflow,43
sangria-graphql,sangria-slowlog,43
marcinzh,turbolift,43
zio,interop-reactive-streams,43
davenverse,cats-scalacheck,43
cquiroz,scala-java-locales,43
scalacenter,scala-debug-adapter,43
jcouyang,dhall-generic,43
scottweaver,testcontainers-for-zio,43
softwaremill,odelay,42
permutive-engineering,fs2-google-pubsub,42
t2v,holidays,42
getshaka-org,native-converter,42
findify,flink-adt,42
dylemma,xml-spac,41
msgpack4z,msgpack4z-core,41
geirolz,fly4s,41
davenverse,rediculous,40
jcouyang,meow,40
minosiants,pencil,40
vincenzobaz,spark-scala3,39
rewards-network,pure-aws,39
tpolecat,natchez-http4s,39
jap-company,fields,39
tpolecat,pool-party,38
scalapb-json,scalapb-circe,38
davenverse,circuit,38
scalapb,scalapb-grpcweb,38
scalameta,metaconfig,38
markehammons,slinc,38
andyglow,websocket-scala-client,37
kitlangton,neotype,37
rewards-network,combos,37
sbt,io,37
yakivy,dupin,37
tinkoff,muffin,36
paoloboni,binance-scala-client,36
typelevel,jawn-fs2,36
ariskk,flink4s,35
svroonland,zio-kinesis,35
wartremover,wartremover-contrib,35
softwaremill,sttp-model,35
neandertech,langoustine,35
vitaliihonta,scala-ql,35
danslapman,morphling,34
zio,zio-lambda,34
inkytonik,kiama,34
typelevel,keypool,33
m2-oss,calypso,33
stephennancekivell,scalatest-json,33
typelevel,case-insensitive,33
zio,zio-s3,33
systemfw,dynosaur,32
tabdulradi,mazboot,32
xuwei-k,nobox,32
zio,zio-rocksdb,31
eed3si9n,sjson-new,31
typelevel,simulacrum-scalafix,31
kailuowang,mau,31
http4s,http4s-netty,31
scalacenter,tasty-query,31
babylonhealth,lit-fhir,31
scodec,scodec-protocols,30
tpolecat,sourcepos,30
typelevel,toolkit,30
dacr,code-examples-manager,30
sciss,soundprocesses,30
vitaliihonta,zio-temporal,30
gzoller,scala-reflection,30
zero-deps,proto,30
softwaremill,ox,29
armanbilge,schrodinger,29
alejandrohdezma,http4s-munit,28
evolution-gaming,derivation,28
rssh,trackedfuture,28
outr,perfolation,28
scalapb,scalapb-json4s,28
zio,zio-connect,28
taig,babel,27
scala-js,scala-js-macrotask-executor,27
regis-leray,fs2-ftp,27
outr,profig,27
darrenjw,scala-glm,27
openmole,gridscale,27
pac4j,http4s-pac4j,26
pityka,saddle,26
vigoo,clipp,26
dvreeze,yaidom,26
oleg-py,shironeko,26
takezoe,scala-jdbc,25
typelevel,bobcats,25
japgolly,microlibs-scala,25
ovotech,natchez-extras,25
sciss,scalaosc,25
univalence,zio-spark,25
typelevel,scalac-options,25
scf37,hottie,25
sangria-graphql,sangria-circe,24
zio,zio-metrics-connectors,24
davenverse,mapref,24
sangria-graphql,macro-visit,24
sherpal,url-dsl,24
hnaderi,edomata,24
guardian,support-frontend,24
max-leuthaeuser,scroll,23
wireapp,wire-signals,23
dacr,zio-lmdb,23
note,mini-refined,23
svroonland,zio-amqp,23
armanbilge,bayou,23
thoughtworksinc,bindable.scala,23
arturopala,buffer-and-slice,23
eikek,emil,23
sciss,scalainterpreterpane,23
zio,zio-parser,23
jodersky,simplesql,23
giabao,paho-akka,22
yakivy,poppet,22
malliina,mobile-push,21
wolfendale,scalacheck-gen-regexp,21
sciss,audiofile,21
giiita,refuel,21
davenverse,rediculous-concurrent,21
jczuchnowski,zio-pulsar,21
sangria-graphql,sangria-play-json,20
nrktkt,ninny-json,20
monix,implicitbox,19
tomasmikula,nutcracker,19
davenverse,github,19
laserdisc-io,log-effect,19
noelwelsh,mads,19
rallyhealth,scalacheck-ops,19
findify,flink-scala-api,19
ciaraobrien,dottytags,19
jbwheatley,pact4s,19
j5ik2o,akka-persistence-s3,19
zengularity,benji,19
ohze,couchbase-scala,19
benhutchison,scalaswingcontrib,19
stryker-mutator,mutation-testing-elements,19
thoughtworksinc,tryt.scala,18
typelevel,unique,18
user-signal,fs2-mqtt,18
tabdulradi,nullable,18
eikek,yamusca,18
shastick,zio-prefetcher,18
typelevel,discipline-scalatest,17
outr,mailgun4s,17
kcrypt,scala-blake3,17
xuwei-k,optparse-applicative,16
zio,zio-constraintless,16
primetalk,typed-ontology,16
gnieh,geo-scala,16
typelevel,discipline-munit,16
ohze,akka-guice,16
metarank,cfor,16
banno,vault4s,16
neandertech,jsonrpclib,16
dmytromitin,dotty-patched,16
sciss,scalacolliderswing,16
katrix,perspective,15
rssh,cps-async-connect,15
playframework,cachecontrol,15
kory33,s2mc-test,15
softwaremill,sttp-apispec,15
tabdulradi,happypath,15
circe,circe-jackson,15
zio,zio-profiling,15
